blocks, threads, time(ms), per op(ms)
32, 64, 890.00, 0.0272
64, 64, 458.64, 0.0140
96, 64, 354.54, 0.0108
128, 64, 257.89, 0.0079
160, 64, 290.30, 0.0089
192, 64, 254.94, 0.0078
224, 64, 269.53, 0.0082
256, 64, 229.72, 0.0070
32, 96, 637.23, 0.0194
64, 96, 359.94, 0.0110
96, 96, 277.94, 0.0085
128, 96, 248.85, 0.0076
160, 96, 292.77, 0.0089
192, 96, 242.85, 0.0074
224, 96, 231.62, 0.0071
256, 96, 224.14, 0.0068
32, 128, 486.20, 0.0148
64, 128, 258.67, 0.0079
96, 128, 260.87, 0.0080
128, 128, 229.67, 0.0070
160, 128, 245.30, 0.0075
192, 128, 227.28, 0.0069
224, 128, 244.13, 0.0075
256, 128, 201.52, 0.0061
32, 160, 479.02, 0.0146
64, 160, 299.98, 0.0092
96, 160, 293.98, 0.0090
128, 160, 240.11, 0.0073
160, 160, 255.07, 0.0078
192, 160, 269.64, 0.0082
224, 160, 216.77, 0.0066
256, 160, 217.31, 0.0066
32, 192, 443.16, 0.0135
64, 192, 261.04, 0.0080
96, 192, 245.61, 0.0075
128, 192, 230.96, 0.0070
160, 192, 284.00, 0.0087
192, 192, 217.07, 0.0066
224, 192, 218.83, 0.0067
256, 192, 216.85, 0.0066
32, 224, 393.46, 0.0120
64, 224, 288.00, 0.0088
96, 224, 234.89, 0.0072
128, 224, 257.20, 0.0078
160, 224, 237.67, 0.0073
192, 224, 236.63, 0.0072
224, 224, 238.42, 0.0073
256, 224, 237.99, 0.0073
32, 256, 332.75, 0.0102
64, 256, 235.61, 0.0072
96, 256, 248.42, 0.0076
128, 256, 199.15, 0.0061
160, 256, 199.34, 0.0061
192, 256, 199.25, 0.0061
224, 256, 199.32, 0.0061
256, 256, 199.24, 0.0061
32, 320, 380.46, 0.0116
64, 320, 244.91, 0.0075
96, 320, 290.59, 0.0089
128, 320, 211.39, 0.0065
160, 320, 210.45, 0.0064
192, 320, 211.09, 0.0064
224, 320, 210.45, 0.0064
256, 320, 211.12, 0.0064
32, 384, 316.31, 0.0097
64, 384, 270.04, 0.0082
96, 384, 217.58, 0.0066
128, 384, 217.64, 0.0066
160, 384, 217.62, 0.0066
192, 384, 217.65, 0.0066
224, 384, 217.69, 0.0066
256, 384, 217.63, 0.0066
32, 512, 264.06, 0.0081
64, 512, 219.10, 0.0067
96, 512, 220.41, 0.0067
128, 512, 220.68, 0.0067
160, 512, 220.77, 0.0067
192, 512, 220.76, 0.0067
224, 512, 220.69, 0.0067
256, 512, 220.67, 0.0067
